,StreetAddress,MlsId,MlsName,DateListed,Price,Description,Bedrooms,FullBathrooms,Appliances,RoomCount
157,828 BALLARD CANYON RD,16968013,CLAW,2016-01-07 00:00:00,2879000.00,"Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to",4,4,Range Hood,bedrooms
159,6692 WILDLIFE RD,16970871,CLAW,2016-01-20 00:00:00,45000.00,"New Construction Point Dume Rental with coveted Beach Rights available immediately. This amazing, designer perfect, super private/secure home comes fully furnished and is available immediately. Book m",5,6,Built-In BBQ,bedrooms
161,845 Highland Drive,316000525,ITECH,2016-02-04 00:00:00,4699999.00,"Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta",6,3,RangeOven,bedrooms
6,27086 MALIBU COVE COLONY DR,16106762,CLAW,2016-03-16 00:00:00,25000.00,Gorgeous oceanfront home with views to Point Dume and direct beach access. This beach house is ideal for entertaining with a kitchen open to a great room and ocean front deck. Possible fourth bedroom ,3,3,Built-Ins,bedrooms
7,36 BREEZE AVE,16109128,CLAW,2016-03-25 00:00:00,6500.00,"his designer, custom architectural remodel on the charming Breeze walk-street is the epitome of luxurious and efficient living. Walls of warm reclaimed wood line the architectural interior, while expa",2,1,Built-Ins,bedrooms
8,31652 BROAD BEACH RD,16114818,CLAW,2016-04-12 00:00:00,5800000.00,"Welcome to an oasis over looking the Pacific Ocean, where crashing waves and vivid sunsets create the quintessential Beach living environment. The controlled access exterior entry sets the tone for th",3,3,Built-Ins,bedrooms
10,11258 Laurie Drive,16115640,CLAW,2016-04-14 00:00:00,798000.00,"NEW PROJECT - SHOVEL READY. *NOTE* This project has Ready To Issue (RTI) PERMITS because the Design Review Board has approved this development, for the Mulholland Scenic Parkway Corridor, in addition ",0,,,
11,28011 PAQUET PL,16118008,CLAW,2016-04-25 00:00:00,6995000.00,"Beautiful estate with panoramic ocean views located in the gated community of Ramirez Canyon. This 5 bed, 5 bath features an open floor plan with natural light and stunning ocean & mountain views thro",5,4,Built-In BBQ,bedrooms
15,32036 PACIFIC COAST HWY,16130744,CLAW,2016-06-02 00:00:00,2450000.00,Build your Malibu dream home! Flat lot on almost one-half acre with pristine ocean views on the ocean side of PCH. Gated and private building site including deeded beach rights to one of the most beau,0,,,
16,888 Blackmore DR,16132084,CLAW,2016-06-05 00:00:00,2888000.00,This approx: 59 ACRE DEVELOPMENT SITE consists of SIX vacant lots. These lots sit on the back and the front side of a hill with a fire road running across the top part of the hill. The largest lot whi,0,,,
21,24808 Woolsey Canyon RD,16134756,CLAW,2016-06-14 00:00:00,1298000.00,"RESIDENTIAL DEVELOPMENT SITE: Consisting of 10 vacant lots on approx: 32 acres, with several BIG FLAT PADS and SWEEPING VALLEY VIEWS of San Fernando Valley, Warner Center and the Mountains. Reports ar",0,,,
23,7350 PACIFIC VIEW DR,16135516,CLAW,2016-06-16 00:00:00,2195000.00,"Perched above a cul-de-sac in the Hollywood Hills, this Dramatic newly constructed home is of the highest quality. Steel, concrete and glass with a clean modern aesthetic and a bright inviting atmosph",3,3,Built-Ins,bedrooms
25,1422 SAN YSIDRO DR,16137056,CLAW,2016-06-22 00:00:00,2035000.00,"Location,location,location. Located on one of BH's premier streets San Ysidro, this home is waiting for its next homeowner to put their magical touch on it. This home has 2 beds and 2 baths with an op",2,2,Range Hood,bedrooms
163,64 North Arroyo Boulevard,316005809,ITECH,2016-06-22 00:00:00,919000.00,"Meticulously maintained light-filled townhouse in the Altos Arroyo complex is looking for its next owner. Main floor features hardwood flooring throughout, living room with vaulted ceilings and firepl",4,2,,bedrooms
164,899 Winston Avenue,316005875,ITECH,2016-06-22 00:00:00,2700000.00,"Located on a quiet street in the desirable San Marino neighborhood, is this charming and cheerful traditional. It boasts 3 beds and 3 baths downstairs, and a private bedroom suite upstairs. Inviting c",4,3,Double Oven,bedrooms
26,6225 GAYTON PL,16137086,CLAW,2016-06-24 00:00:00,3195000.00,This beautiful 4 bedroom/4.5 bath is situated on approximately 1 acre with phenomenal mountain views in a tranquil setting and located in a gated community. The home offers a gourmet kitchen with gran,4,4,Built-In BBQ,bedrooms
28,2317 Dickenson RD,16142180,CLAW,2016-07-11 00:00:00,20000000.00,"An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce",3,2,Built-In BBQ,bedrooms
165,1401 Via Del Rey,316006132,ITECH,2016-07-15 00:00:00,1988000.00,"Mid Century 1970's iconic Charles Wong designed South Pasadena home, filled with original character and charm, situated on a corner lot atop of Via del Rey, overlooking Pasadena, the Rose Bowl and a g",6,4,Built-Ins,bedrooms
29,514 LILLIAN WAY,16142204,CLAW,2016-07-21 00:00:00,1399000.00,"MOTIVATED SELLER! BRING US AN OFFER!! Perfectly situated between the Wilshire Country Club and the Los Angeles Tennis Club, come see this charming Spanish 3-bedroom house with central air and incredib",3,1,Built-In Gas,bedrooms
31,602 PALISADES BEACH RD,16145020,CLAW,2016-07-21 00:00:00,10500000.00,"Incredible opportunity to own this classic French Revival sitting on over 11,000 square feet of beach front land right in the middle of Santa Monica's famed Gold Coast. With 59 feet of beachfront, it ",7,7,,bedrooms
32,4906 MENDOTA AVE,16146358,CLAW,2016-07-22 00:00:00,468300.00,"Amazing investor opportunity in hot, hot Highland Park. This is a Probate sale that requires court confirmation. Cash buyers only. Executor asks that you do not walk on property. No open houses, no sh",2,1,,bedrooms
34,29220 WAGON RD,16148546,CLAW,2016-07-29 00:00:00,2688000.00,"Perched atop a secluded promontory, this inspired contemporary compound is located within the exclusive gated community of Medea Valley Estates, optimally positioned between Malibu and Agoura Hills. O",6,5,Built-In BBQ,bedrooms
168,5215 Vista Miguel Drive,316007195,ITECH,2016-07-29 00:00:00,1848000.00,Quintessential Cape Cod style home located in a prime area of La Canada Flintridge. Fantastic family floor plan with sunlight-filled rooms throughout which flow seamlessly to an inviting veranda and e,4,3,,bedrooms
37,27112 MALIBU COVE COLONY DR,16150318,CLAW,2016-08-05 00:00:00,20000.00,"This sleek and sexy beach house is located on a private guard-gated lane in the center of Malibu. Upon entry, the home immediately introduces you to the Pacific Ocean with a two story entry, walls of ",3,3,Range Hood,bedrooms
38,181 SURFVIEW DR,16150758,CLAW,2016-08-05 00:00:00,10815.00,"Spectacular Contemporary with dramatic and architectural details. Exquisitely updated with fine attention to detail. Ocean view from most rooms, yard and decks. Gorgeous living/media room with bar are",4,3,Built-Ins,bedrooms
39,4960 VANALDEN AVE,16151208,CLAW,2016-08-11 00:00:00,3495000.00,"Designed by noted architect Gus Duffy and situated on approx 3/4's of an acre, this resort like estate defines the meaning of ""compound"". The Casa: Is a single story 4+3.5 home, beautiful in rich wood",7,4,Built-In BBQ,bedrooms
41,7135 HOLLYWOOD,16153228,CLAW,2016-08-15 00:00:00,650000.00,"Hollywood Versailles Towers at it's best! Come see this hip, designer perfect condo in the fabulous, full-service building on Hollywood Boulevard! Bring your toothbrush and move in! This condo has a f",1,2,Built-Ins,bedrooms
171,82 Monterey Lane,316007701,ITECH,2016-08-15 11:31:13,879000.00,"Quaint Sierra Madre Traditional corner lot home on cul-de-sac street. Wonderful open and bright floor plan with 3 bedrooms, 2 bathrooms, and spacious family room that opens to the back yard. This home",3,1,Built-In Electric,bedrooms
42,9640 SIERRA HWY,16154748,CLAW,2016-08-22 00:00:00,12800000.00,"Just 35 miles outside of Los Angeles, Agua Dulce Winery is a breathtaking 90-acre property affording oenophiles the rarity of owning a countryside estate featuring a spacious 5-bedroom residence and t",5,4,RangeOven,bedrooms
45,24014 PARK CASINO,16155556,CLAW,2016-08-22 00:00:00,1719500.00,"Gorgeous home with view of Calabasas golf course, Located in the sought after Las Virgenes School District. Nice and bright with an impressive entryway with skylights that opens into the living room o",4,3,Built-In BBQ,bedrooms
46,1100 N BEVERLY GLEN,16155592,CLAW,2016-08-22 00:00:00,5700.00,"Stunning Contemporary in Beverly Glen. Centrally located near Bel Air, Beverly Hills, Westwood, and Century City. The home has been tastefully updated with top quality finishes. Features hardwood floo",3,2,Range Hood,bedrooms
173,3138 Cloudcrest Road,316007976,ITECH,2016-08-24 00:00:00,850000.00,"Peace, calm and quiet in the hills of La Crescenta, this Traditional-Contemporary home offers what you've been waiting for. Within the last two years this three bedroom,/two bathroom home has been ext",3,2,,bedrooms
47,1016 OAKWOOD AVE,16156574,CLAW,2016-08-26 00:00:00,1450000.00,"AMAZING OPPORTUNITY IN VENICE! Charming beach cottage with 3 bedrooms and one bathroom in main house. Hardwood floors, light and bright, spacious bathroom and laundry inside. Legal back studio with st",3,2,RangeOven,bedrooms
49,200 TOYOPA DR,16157428,CLAW,2016-08-29 00:00:00,20000000.00,"Perched atop the coveted Huntington area of the Pacific Palisades, this oceanside manor is nothing short of presidential - a rare composition of remarkable stonework flush with ivy and backlit by the ",7,5,Built-In BBQ,bedrooms
50,16242 SHADOW MOUNTAIN DR,16157766,CLAW,2016-09-02 00:00:00,10620000.00,Shadow Mountain is an enclave of 46 wonderful estates that enjoy 24 hour live-gated security just minutes from all that Pacific Palisades has to offer. This spectacular property was conceived and cust,8,8,Built-In BBQ,bedrooms
54,10747 WILSHIRE,16158874,CLAW,2016-09-02 00:00:00,720000.00,"Prime Wilshire corridor location! Secure building with a 24 hr. doorman. Light and bright luxury unit, the best bargain on the Wilshire corridor. 2 bdrm/ 2 bath updated condo with plantation shutters ",2,2,Microwave,bedrooms
167,764 Michigan Boulevard,316006757,ITECH,2016-09-02 00:00:00,1898000.00,"The Prairie style architecture of this magnificent home, with its broad eaves, pergola covered porte-cochere and expansive front porch, welcome you home to the tree-shaded parkways and expansive lawns",5,1,,bedrooms
55,11647 BELLAGIO RD,16159656,CLAW,2016-09-06 00:00:00,2400000.00,"Located on one of Bel Air's most coveted streets, this superb property provides an escape from city life to a sanctuary of treetop vistas and glorious views of the Getty Museum and Catalina Island on ",7,5,Built-Ins,bedrooms
170,1406 Wellington Avenue,316007560,ITECH,2016-09-06 00:00:00,1088000.00,"Located in the prestigious Linda Vista neighborhood of Pasadena, this adorable home welcomes you with a beautifully landscaped front yard and charming porch. Cozy living room with fireplace, wood beam",3,2,Oven,bedrooms
174,2388 North Altadena Drive,316008372,ITECH,2016-09-06 00:00:00,1790000.00,House Re-Imagined! It is incredible what can be done for $50K. Come and see the transformation. Canopies of Oaks shelter this one-of-a-kind Rustic Craftsman residence that rests on the banks of Eaton ,6,5,Free Standing Gas,bedrooms
56,316 N SKYEWIAY RD,16159808,CLAW,2016-09-08 00:00:00,3995000.00,"New Construction in the heart of Brentwood. This ""East Coast Beach Cottage"" influenced 5 bedroom, 5 bath home has a flexible open floorplan and works well for daily living and entertaining. The formal",5,3,Built-Ins,bedrooms
57,545 CATALONIA AVE,16160058,CLAW,2016-09-09 00:00:00,2895000.00,"An architectural wonder designed by renowned architect David Kellen, a student of Frank Israel and colleague of Frank Gehry, this neo-modern ranch is perched atop the rolling hills of Pacific Palisade",4,5,Built-Ins,bedrooms
59,21425 Rambla Vista,16161032,CLAW,2016-09-09 00:00:00,450000.00,"This upslope lot in the desirable La Costa area of Malibu is located less than a minute off of PCH and is in close proximity to shopping, schools, and Santa Monica. Enjoy panoramic ocean and whitewate",0,,,
60,7931 ZEUS DR,16161068,CLAW,2016-09-10 00:00:00,7900.00,"4 bedroom + 3.5 bathrooms, 3162 sqft home with pool on a 12,219 sqft lot. Cul-de-sac location, convenient to Sunset Strip, Hollywood and West Hollywood. Spacious Modern Spanish home with city views an",4,3,,bedrooms
61,1900 PETERSON AVE,16161388,CLAW,2016-09-14 00:00:00,2588000.00,"Extraordinary view home located in the award-winning South Pasadena School district. Located minutes to Downtown LA, USC and Caltech. This home showcases stunning views of downtown, mountains & trees.",6,3,Microwave,bedrooms
65,1012 2ND ST,16162540,CLAW,2016-09-14 00:00:00,3488000.00,"Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Coastal contemporary brand new construction- a true labor of love! Direct ocean views from this sleek architectural 3 be",3,1,RangeOven,bedrooms
66,1012 2ND ST,16162570,CLAW,2016-09-14 00:00:00,2895000.00,"Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Architecturally significant turn-of-the-century Victorian cottage meticulously restored and transformed into a modern ma",3,1,Range Hood,bedrooms
63,10501 EASTBORNE AVE,16162304,CLAW,2016-09-15 00:00:00,3248000.00,This impressive modern construction sets the standard in this highly desirable Westwood location. Ideally located in close proximity to the best of what the Westside has to offer. 5 bd 5.5 ba & an ope,5,5,Built-Ins,bedrooms
67,1203 N SWEETZER AVE,16162696,CLAW,2016-09-15 00:00:00,499000.00,"Remodeled, spacious and light 1 bedroom and 1 bathroom condo in the coveted West Hollywood complex. Villa Las Brisas. Large open living room and dining area with private balcony. Remodeled eat-in-kitc",1,1,Built-Ins,bedrooms
72,21844 PACIFIC COAST HWY,16163266,CLAW,2016-09-16 00:00:00,10950000.00,"Meticulously remodeled Carbon Beach jewel. This 3 bedroom, 2 bath home with gated entry and beautiful courtyard leads you to the best location on the beach! Relax and unwind in your private hot tub on",3,2,Built-Ins,bedrooms
176,1990 Hilldale Drive,316008853,ITECH,2016-09-19 00:00:00,899000.00,"Charming hilltop home! Built in 1941, this 3 bedroom 2 bathroom traditional 2 level home has been meticulously maintained by the current owners for the past 25 years and is described as having good bo",3,1,,bedrooms
74,1363 COLTON ST,16163996,CLAW,2016-09-20 00:00:00,2599000.00,"Located in the S Echo Park / Westlake neighborhood, this double lot offers the opportunity to raise 40 residential units over 2 levels of daylight subterranean, with access off both Colton and Douglas",0,,,
76,1310 NAPOLI DR,16164412,CLAW,2016-09-21 00:00:00,6495000.00,"A harmonious union between architecture and nature, this Spanish Villa is set on a half-acre of beautiful land in the desirable Palisades. Originally built in 1923, the home remains true to its Spanis",4,3,Built-In BBQ,bedrooms
73,1301 SEWARD ST,16163826,CLAW,2016-09-22 00:00:00,3500.00,Welcome to WEHO! West Hollywood HARD TO FIND pet friendly 2bd/1bath + bungalow. This very bright and charming bungalow is the main house of a detached duplex. Enjoy the serine front yard with privacy ,2,1,RangeOven,bedrooms
78,928 19TH ST,16164788,CLAW,2016-09-22 00:00:00,6475.00,"Fantastic location! Flexible lease terms- Landlord will consider short, or long term. Just 2 blocks to Montana Avenue shops, cafes and restaurants! Franklin School District! Updated townhouse with 2bd",2,2,Range Hood,bedrooms
80,2445 WALGROVE AVE,16165062,CLAW,2016-09-22 00:00:00,1235000.00,Charming 1920s farmhouse on the border of Mar Vista and Venice. This home was originally built in 1925 in La Canada and was moved to the current address in the 1960s. It exudes a vintage ranch-style c,3,1,Range Hood,bedrooms
178,2454 Oswego Street #201,316009006,ITECH,2016-09-25 00:00:00,728000.00,"Architectural excellence and modern finishes combine seamlessly in this luxurious single level rear unit. Built in 2007, the complex boasts idyllic qualities like lush foliage and curved paver-lined p",3,3,Free Standing Gas,bedrooms
82,0 Ramera Mountainway,16165528,CLAW,2016-09-26 00:00:00,3250000.00,Smashing ocean views from 91 acres in the beautiful Santa Monica Mountains overlooking Malibu and Point Dume. This offering consists of seven contiguous ocean view lots only 2 1/2 miles from Pacific C,0,,,
83,6041 KANAN DUME RD,16165532,CLAW,2016-09-26 00:00:00,2500000.00,"Amazing land offering of almost six acres within 1/2 mile of Pacific Coast Highway. Surrounded by multi-million dollar homes, the property is one of the few left that are able to accommodate multiple ",0,,,
179,2011 Hall Canyon Drive,316009078,ITECH,2016-09-26 00:00:00,3695000.00,"This timeless contemporary Craftsman residence in La Canada, built by C.H. Anderson, was once a grove of deodar pines, transformed into a property fit for entertaining and movement. Renowned architect",4,2,Built-In BBQ,bedrooms
85,1522 AMHERST AVE,16166222,CLAW,2016-09-27 00:00:00,4350.00,Beautifully appointed single level condo in a newer Mediterranean courtyard building. A great open floor plan with 3 bedrooms/2.5 bathrooms and filled with natural sunlight. The chef's kitchen has che,3,2,Microwave,bedrooms
177,1124 East Chestnut Street #39,316008990,ITECH,2016-09-28 00:00:00,2400.00,"Charming townhouse style condo. Spacious, beautifully maintained light filled two bedroom two bath unit with hardwood floors, fireplace, two balconies, in unit washer/dryer and private two car garage.",2,2,Free Standing Gas,bedrooms
79,1425 SYCAMORE AVE,16164958,CLAW,2016-10-03 00:00:00,888000.00,"Located in Northwest Glendale, above Bel Aire Drive, this stylishly remodeled home is sure to delight the most discerning buyer! The gorgeous chef's kitchen is straight out of Restoration Hardware and",3,2,Built-In BBQ,bedrooms
87,901 TEAKWOOD RD,16167440,CLAW,2016-10-03 00:00:00,1998000.00,"Mid-Century modern with gorgeous canyon views. This 2,835 sqft home has 4 bed, 3 baths and is bright and spacious throughout with plenty of room for entertaining. The living room with fireplace has la",4,3,Range Hood,bedrooms
88,429 MONTANA AVE,16167460,CLAW,2016-10-03 00:00:00,1498000.00,"Rare opportunity to purchase this wonderful 3 bed, 2 bath penthouse in a high demand Santa Monica area. Near shops, restaurants, Santa Monica Pier, Promenade, Santa Monica stairs and the beach; this h",3,2,RangeOven,bedrooms
182,4842 Alminar Avenue,316009342,ITECH,2016-10-03 00:00:00,1339000.00,"Welcome to 4842 Alminar Ave., considered a prime location for many in La Canada! Alminar is a quaint tree lined street not far from schools, shopping and restaurants. This cozy and charming 3 bedroom,",3,2,Cooktop - Gas,bedrooms
185,4113 Lanterman Lane,316009368,ITECH,2016-10-03 00:00:00,1195000.00,"Beautiful turn-key traditional in La Canada Flintridge. Fantastic floor plan for entertaining with great indoor-outdoor flow. Large living room/ dining room, cooks kitchen and breakfast nook open to t",4,1,,bedrooms
81,18913 ADOLFO AVE,16165260,CLAW,2016-10-04 00:00:00,865000.00,Welcome to this wonderful small gated community in the heart of Tarzana. Drive up and you are greeted with a stamped driveway and rose bush lined path leading to a beautiful newer 4 bedroom property. ,4,4,Microwave,bedrooms
90,1 W CENTURY DR,16168294,CLAW,2016-10-04 00:00:00,3849000.00,"Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the ",2,2,Built-Ins,bedrooms
91,1 W CENTURY DR,16168406,CLAW,2016-10-04 00:00:00,18500.00,"Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the ",2,2,Built-Ins,bedrooms
